Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
"43.120.1042a, b",False,False,False,28706,,Arms and Armor,1943.0,Sword-hilt collar and pommel (Fuchigashira),Sword-Hilt Collar and Pommel (Fuchigashira),Japanese,,,,,,,,,,,,,,,,,,ca. 1615–1868,1590,1900,"Copper-gold alloy (shakudō), gold",Fuchi (a); H. 1 1/2 in. (3.8 cm); Wt. 0.6 oz. (17 g); kashira (b); H. 1 3/8 in. (3.5 cm); Wt. 0.5 oz. (14.2 g),"Gift of Herman A. E. and Paul C. Jaehne, 1943",,,,,,,,,,,,Sword Furniture-Fuchi-Kashira,,http://www.metmuseum.org/art/collection/search/28706,,,"Metropolitan Museum of Art, New York, NY",Flowers|Leaves,http://vocab.getty.edu/page/aat/300132399|http://vocab.getty.edu/page/aat/300011892,https://www.wikidata.org/wiki/Q506|https://www.wikidata.org/wiki/Q33971
"43.120.1043a, b",False,False,False,28707,,Arms and Armor,1943.0,Sword-hilt collar and pommel (Fuchigashra),Sword-Hilt Collar and Pommel (Fuchigashira),Japanese,,,,,,,,,,,,,,,,,,ca. 1615–1868,1590,1900,"Copper-gold alloy (shakudō), gold",Fuchi (a); H. 1 9/16 in. (4 cm); Wt. 1 oz. (28.3 g); kashira (b); H. 1 3/8 in. (3.5 cm); Wt. 0.6 oz. (17 g),"Gift of Herman A. E. and Paul C. Jaehne, 1943",,,,,,,,,,,,Sword Furniture-Fuchi-Kashira,,http://www.metmuseum.org/art/collection/search/28707,,,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506
"43.120.1044a, b",False,False,False,28708,,Arms and Armor,1943.0,Sword-hilt collar and pommel (Fuchigashira),Sword-Hilt Collar and Pommel (Fuchigashira),Japanese,,,,,,,,,,,,,,,,,,ca. 1615–1868,1590,1900,"Copper-gold alloy (shakudō), gold",Fuchi (a); H. 1 9/16 in. (4 cm); Wt. 1.1 oz. (31.2 g); kashira (b); H. 1 3/8 in. (3.5 cm); Wt. 0.6 oz. (17 g),"Gift of Herman A. E. and Paul C. Jaehne, 1943",,,,,,,,,,,,Sword Furniture-Fuchi-Kashira,,http://www.metmuseum.org/art/collection/search/28708,,,"Metropolitan Museum of Art, New York, NY",Flowers,http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q506
"43.120.1045a, b",False,False,False,28709,,Arms and Armor,1943.0,Sword-hilt collar and pommel (Fuchigashira),Sword-Hilt Collar and Pommel (Fuchigashira),Japanese,,,,,,,,,,,,,,,,,,ca. 1615–1868,1590,1900,"Copper-gold alloy (shakudō), gold",Fuchi (a); H. 1 1/2 in. (3.8 cm); Wt. 0.9 oz. (25.5 g); kashira (b); H. 1 5/16 in. (3.3 cm); Wt. 0.4 oz. (11.3 g),"Gift of Herman A. E. and Paul C. Jaehne, 1943",,,,,,,,,,,,Sword Furniture-Fuchi-Kashira,,http://www.metmuseum.org/art/collection/search/28709,,,"Metropolitan Museum of Art, New York, NY",Horses|Flowers,http://vocab.getty.edu/page/aat/300250148|http://vocab.getty.edu/page/aat/300132399,https://www.wikidata.org/wiki/Q726|https://www.wikidata.org/wiki/Q506
"43.120.1046a, b",False,False,False,28710,,Arms and Armor,1943.0,Sword-hilt collar and pommel (Fuchigashira),Sword-Hilt Collar and Pommel (Fuchigashira),Japanese,,,,,,,,,,,,,,,,,,ca. 1615–1868,1590,1900,"Copper-gold alloy (shakudō), gold",Fuchi (a); H. 1 9/16 in. (4 cm); Wt. 0.8 oz. (22.7 g); kashira (b); H. 1 3/8 in. (3.5 cm); Wt. 0.4 oz. (11.3 g),"Gift of Herman A. E. and Paul C. Jaehne, 1943",,,,,,,,,,,,Sword Furniture-Fuchi-Kashira,,http://www.metmuseum.org/art/collection/search/28710,,,"Metropolitan Museum of Art, New York, NY",Human Figures|Flowers|Boats,http://vocab.getty.edu/page/aat/300404114|http://vocab.getty.edu/page/aat/300132399|http://vocab.getty.edu/page/aat/300178749,https://www.wikidata.org/wiki/Q5937779|https://www.wikidata.org/wiki/Q506|https://www.wikidata.org/wiki/Q35872
"43.120.1047a, b",False,False,False,28711,,Arms and Armor,1943.0,Swrod-hilt collar and pommel (Fuchigashira),Sword-Hilt Collar and Pommel (Fuchigashira),Japanese,,,,,,,,,,,,,,,,,,ca. 1615–1868,1590,1900,"Copper-gold alloy (shakudō), gold",Fuchi (a); H. 1 1/2 in. (3.8 cm); Wt. 0.8 oz. (22.7 g); kashira (b); H. 1 3/8 in. (3.5 cm); Wt. 0.4 oz. (11.3 g),"Gift of Herman A. E. and Paul C. Jaehne, 1943",,,,,,,,,,,,Sword Furniture-Fuchi-Kashira,,http://www.metmuseum.org/art/collection/search/28711,,,"Metropolitan Museum of Art, New York, NY",Bow and Arrow|Men|Women, |http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q19827042|https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467
"43.120.1048a, b",False,False,False,28712,,Arms and Armor,1943.0,Sword-hilt collar and pommel (Fuchigashira),Sword-Hilt Collar and Pommel (Fuchigashira),Japanese,,,,,,,,,,,,,,,,,,ca. 1615–1868,1590,1900,"Copper-gold alloy (shakudō), gold",Fuchi (a); H. 1 9/16 in. (4 cm); Wt. 1.1 oz. (31.2 g); kashira (b); H. 1 3/8 in. (3.5 cm); Wt. 0.5 oz. (14.2 g),"Gift of Herman A. E. and Paul C. Jaehne, 1943",,,,,,,,,,,,Sword Furniture-Fuchi-Kashira,,http://www.metmuseum.org/art/collection/search/28712,,,"Metropolitan Museum of Art, New York, NY",Flowers|Leaves,http://vocab.getty.edu/page/aat/300132399|http://vocab.getty.edu/page/aat/300011892,https://www.wikidata.org/wiki/Q506|https://www.wikidata.org/wiki/Q33971
"43.120.1049a, b",False,False,False,28713,,Arms and Armor,1943.0,Sword-hilt collar and pommel (Fuchigashira),Sword-Hilt Collar and Pommel (Fuchigashira),Japanese,,,,,,,,,,,,,,,,,,ca. 1615–1868,1590,1900,"Copper-gold alloy (shakudō), gold",Fuchi (a); H. 1 9/16 in. (4 cm); Wt. 0.9 oz. (25.5 g); kashira (b); H. 1 3/8 in. (3.5 cm); Wt. 0.4 oz. (11.3 g),"Gift of Herman A. E. and Paul C. Jaehne, 1943",,,,,,,,,,,,Sword Furniture-Fuchi-Kashira,,http://www.metmuseum.org/art/collection/search/28713,,,"Metropolitan Museum of Art, New York, NY",Men,http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q8441
"43.120.1050a, b",False,False,False,28714,,Arms and Armor,1943.0,Sword-hilt collar and pommel (Fuchigashira),Sword-Hilt Collar and Pommel (Fuchigashira),Japanese,,,,,,,,,,,,,,,,,,ca. 1615–1868,1590,1900,"Copper-gold alloy (shakudō), gold",Fuchi (a); H. 1 1/2 in. (3.8 cm); Wt. 0.8 oz. (22.7 g); kashira (b); H. 1 3/8 in. (3.5 cm); Wt. 0.5 oz. (14.2 g),"Gift of Herman A. E. and Paul C. Jaehne, 1943",,,,,,,,,,,,Sword Furniture-Fuchi-Kashira,,http://www.metmuseum.org/art/collection/search/28714,,,"Metropolitan Museum of Art, New York, NY",Animals|Men,http://vocab.getty.edu/page/aat/300249525|http://vocab.getty.edu/page/aat/300025928,https://www.wikidata.org/wiki/Q729|https://www.wikidata.org/wiki/Q8441
"43.120.1051a, b",False,False,False,28715,,Arms and Armor,1943.0,Sword-hilt collar and pommel (Fuchigashira),Sowrd-Hilt Collar and Pommel (Fuchigashira),Japanese,,,,,,,,,,,,,,,,,,ca. 1615–1868,1590,1900,"Copper-gold alloy (shakudō), gold",Fuchi (a); H. 1 1/2 in. (3.8 cm); Wt. 1 oz. (28.3 g); kashira (b); H. 1 7/16 in. (3.3 cm); Wt. 0.5 oz. (14.2 g),"Gift of Herman A. E. and Paul C. Jaehne, 1943",,,,,,,,,,,,Sword Furniture-Fuchi-Kashira,,http://www.metmuseum.org/art/collection/search/28715,,,"Metropolitan Museum of Art, New York, NY",Dragons|Volcanoes,http://vocab.getty.edu/page/aat/300375726|http://vocab.getty.edu/page/aat/300132325,https://www.wikidata.org/wiki/Q7559|https://www.wikidata.org/wiki/Q8072
